
3,3,12,4,0,true,440,0,15,,3,RunAwayAction,,3,890
3,3,4,64,0,true,400,0,2,,3,ChaseAction,,3,1940
3,3,16,27,0,true,980,0,4,,3,RunAwayAction,,3,1560
0,0,650,650,0,true,250,1,7,,0,ChaseAction,,0,620
3,3,26,4,0,true,480,1,12,,3,ChaseAction,,3,850
3,3,22,650,0,true,130,1,5,,3,ChillAction,,3,1200
3,3,50,27,0,true,890,1,6,,3,RunAwayAction,,3,1620
3,3,650,650,0,true,210,1,8,,3,ChillAction,,3,2350
3,3,32,45,0,true,460,2,5,,3,ChaseAction,,3,1850
0,0,650,650,0,true,230,3,4,,0,ChillAction,,0,610
0,0,650,88,0,true,220,3,13,,0,ChillAction,,0,710
3,3,650,141,0,true,290,3,10,,3,ChaseAction,,3,2490
3,3,650,99,0,true,230,3,10,,3,ChaseAction,,3,2550
3,3,650,75,0,true,220,3,16,,3,ChillAction,,3,2560
3,3,14,650,0,true,490,4,2,,3,ChillAction,,3,1730
18,18,74,650,0,false,220,1,7,,18,ChaseAction,,18,640
15,15,650,650,0,true,210,1,10,,15,ChillAction,,15,240
18,18,56,650,0,false,230,3,4,,18,RunAwayAction,,18,630
18,18,68,650,0,false,190,3,13,,18,RunAwayAction,,18,670
15,15,650,136,0,true,290,3,10,,15,ChaseAction,,15,450
15,15,650,112,0,true,230,3,10,,15,ChaseAction,,15,530
16,16,650,88,0,true,230,3,16,,16,ChaseAction,,16,530
22,22,650,650,0,true,230,1,7,,22,ChaseAction,,22,190
25,25,98,4,0,true,230,1,7,,25,RunAwayAction,,25,730
24,24,134,124,0,false,120,3,16,,24,ChaseAction,,24,640
25,25,56,650,0,false,110,3,7,,25,RunAwayAction,,25,920
25,25,70,650,0,false,280,3,16,,25,RunAwayAction,,25,750
25,25,30,650,0,false,260,3,5,,25,RunAwayAction,,25,770
22,22,650,650,0,true,230,3,4,,22,ChillAction,,22,160
22,22,650,88,0,true,280,3,13,,22,ChillAction,,22,370
23,23,116,124,0,true,120,3,7,,23,RunAwayAction,,23,560
25,25,80,4,0,true,230,3,4,,25,RunAwayAction,,25,530
25,25,88,4,0,true,280,3,13,,25,RunAwayAction,,25,740
33,33,650,650,0,true,250,1,7,,33,ChaseAction,,33,280
36,36,100,40,0,true,210,1,8,,36,ChillAction,,36,570
33,33,650,650,0,true,230,3,4,,33,ChillAction,,33,270
33,33,650,88,0,true,220,3,13,,33,ChillAction,,33,480
36,36,82,40,0,true,180,3,2,,36,RunAwayAction,,36,550
36,36,142,40,0,true,290,3,10,,36,RunAwayAction,,36,570
36,36,144,40,0,true,230,3,10,,36,ChillAction,,36,630
36,36,126,56,0,true,250,3,16,,36,RunAwayAction,,36,610
44,44,7,650,0,false,290,0,2,,44,RunAwayAction,,44,870
41,41,650,650,0,true,210,1,10,,41,ChillAction,,41,240
44,44,40,650,0,false,120,2,7,,44,RunAwayAction,,44,810
44,44,25,650,0,false,320,2,5,,44,ChillAction,,44,670
43,43,46,650,0,false,120,3,4,,43,ChaseAction,,43,780
41,41,650,136,0,true,290,3,10,,41,ChaseAction,,41,220
41,41,650,112,0,true,230,3,10,,41,ChaseAction,,41,310
42,42,650,88,0,true,230,3,16,,42,RunAwayAction,,42,640
44,44,27,650,0,true,110,3,13,,44,ChillAction,,44,1050
44,44,19,650,0,false,320,4,5,,44,ChillAction,,44,690
44,44,15,650,0,true,120,4,7,,44,ChillAction,,44,1040
55,55,12,4,0,true,820,0,15,,55,RunAwayAction,,55,850
52,52,650,650,0,true,250,1,7,,52,ChaseAction,,52,1000
55,55,26,4,0,true,860,1,12,,55,ChaseAction,,55,640
52,52,650,650,0,true,230,3,4,,52,ChaseAction,,52,990
52,52,650,88,0,true,220,3,13,,52,RunAwayAction,,52,1250
55,55,650,87,0,true,120,3,2,,55,ChaseAction,,55,1580
55,55,650,71,0,true,150,3,2,,55,ChillAction,,55,1600
55,55,650,71,0,true,290,3,16,,55,ChillAction,,55,1520
55,55,650,49,0,true,230,3,10,,55,RunAwayAction,,55,1580
55,55,650,41,0,true,250,3,16,,55,ChaseAction,,55,1560
65,65,34,650,0,false,130,0,5,,65,RunAwayAction,,65,890
65,65,28,650,0,false,440,1,13,,65,ChillAction,,65,1260
62,62,650,650,0,true,210,1,10,,62,ChillAction,,62,240
65,65,25,33,0,true,400,1,6,,65,ChillAction,,65,1300
65,65,650,650,0,true,220,1,7,,65,ChaseAction,,65,1480
65,65,40,650,0,false,120,2,7,,65,ChillAction,,65,900
65,65,26,650,0,false,440,2,2,,65,RunAwayAction,,65,980
64,64,46,650,0,false,120,3,4,,64,ChaseAction,,64,830
62,62,650,140,0,true,290,3,10,,62,RunAwayAction,,62,220
62,62,650,100,0,true,230,3,10,,62,ChillAction,,62,310
63,63,650,76,0,true,230,3,16,,63,ChaseAction,,63,350
65,65,650,650,0,true,230,3,4,,65,RunAwayAction,,65,1470
65,65,650,93,0,true,190,3,13,,65,RunAwayAction,,65,1510
65,65,36,650,0,false,480,4,3,,65,RunAwayAction,,65,1200
79,79,76,5,0,true,130,0,5,,79,RunAwayAction,,79,1010
76,76,650,650,0,true,230,1,7,,76,RunAwayAction,,76,250
79,79,650,61,0,true,240,1,10,,79,ChillAction,,79,900
79,79,82,29,0,true,120,2,7,,79,RunAwayAction,,79,840
78,78,134,112,0,false,180,3,16,,78,RunAwayAction,,78,450
76,76,650,650,0,true,230,3,4,,76,RunAwayAction,,76,190
76,76,650,88,0,true,290,3,13,,76,ChillAction,,76,220
77,77,116,112,0,true,150,3,7,,77,RunAwayAction,,77,390
79,79,124,88,0,true,120,3,10,,79,RunAwayAction,,79,540
79,79,110,72,0,true,120,3,16,,79,ChaseAction,,79,580
79,79,88,53,0,true,120,3,13,,79,ChaseAction,,79,840
79,79,650,73,0,true,160,3,11,,79,RunAwayAction,,79,980
91,91,38,650,0,false,130,0,5,,91,ChaseAction,,91,1560
