
7,7,0,12,false,12,false,36,false,24,false,true,1,38.0,1910,3,,7,0,,7,40,-1,-19
7,7,0,52,false,28,true,12,true,12,false,true,3,74.0,1920,3,,7,0,,7,130,-1,8
4,4,2,-1,false,16,false,12,false,52,false,true,0,148.0,1060,3,,4,1,,4,800,0,85
4,4,2,-1,false,24,true,12,true,12,true,true,1,68.0,860,3,,4,1,,4,1050,0,29
4,4,4,24,true,-1,false,12,true,52,true,true,1,30.0,860,3,,4,1,,4,1040,0,-11
4,4,4,24,true,-1,false,12,true,52,true,true,2,68.0,850,3,,4,1,,4,1090,0,40
7,7,0,12,true,12,true,36,true,24,false,false,1,28.0,1940,3,,7,1,,7,60,-1,-9
5,5,0,12,true,12,true,36,true,24,true,false,1,41.0,1900,3,,5,1,,5,200,-1,-10
19,19,0,60,true,12,true,12,true,68,true,true,2,125.0,4250,2,,19,1,,19,410,0,21
15,15,1,12,false,24,false,-1,false,36,true,true,2,136.0,2360,3,,15,2,,15,150,-1,105
12,12,2,-1,false,24,true,24,true,12,true,true,0,108.0,1570,3,,12,3,,12,700,0,17
13,13,3,12,false,24,false,36,false,-1,false,true,0,92.0,2280,3,,13,3,,13,280,-1,41
19,19,4,32,true,-1,false,20,true,56,true,true,1,153.0,4330,2,,19,1,,19,850,0,70
19,19,4,32,false,-1,false,56,false,20,false,true,3,85.0,4650,2,,19,0,,19,610,0,34
20,20,4,73,true,-1,false,12,true,56,true,true,1,120.0,4720,2,,20,1,,20,550,0,-11
12,12,0,52,false,28,false,12,false,12,false,false,1,23.0,1450,3,,12,0,,12,850,0,-56
20,20,1,16,true,16,true,-1,false,12,true,false,2,103.0,4720,2,,20,1,,20,430,0,-26
16,16,2,-1,false,28,false,12,false,12,false,false,0,17.0,2400,3,,16,3,,16,40,-1,-65
16,16,2,-1,false,12,true,28,false,28,false,false,0,38.0,2420,3,,16,3,,16,40,-1,1
24,24,3,20,false,8,false,56,false,-1,false,false,0,42.0,5810,2,,24,0,,24,0,-1,24
24,24,3,16,false,16,false,12,false,-1,false,false,0,72.0,5810,2,,24,0,,24,20,-1,36
24,24,3,20,false,8,false,56,false,-1,false,false,0,25.0,5810,2,,24,3,,24,40,-1,-23
24,24,4,73,false,-1,false,56,false,12,false,false,3,39.0,5810,2,,24,3,,24,40,-1,-15
27,27,0,52,true,28,false,12,true,12,true,true,0,112.0,1580,3,,27,0,,27,0,-1,33
27,27,1,16,false,12,false,-1,false,25,false,true,0,97.0,1580,3,,27,1,,27,0,-1,58
31,31,1,12,true,24,true,-1,false,24,true,true,3,79.0,2500,1,,31,2,,31,600,0,3
27,27,2,-1,false,28,false,12,true,12,true,true,0,88.0,1580,3,,27,1,,27,0,-1,31
31,31,2,-1,false,12,true,28,true,28,true,true,0,94.0,2500,1,,31,1,,31,600,0,22
28,28,0,12,false,12,false,36,false,24,false,false,2,71.0,2340,2,,28,2,,28,0,-1,52
